text,label,source_model,generation_method,clean_text,word_count,avg_word_length
هدفت الدراسة الحالية الى التعرف على فعالية برنامج تدريبي لتنمية بعض مهارات السلوك التكيفي لدى الاطفال المعاقين عقليا ، مستخدمين بطارية كلومبيا للنضج العقلي لتحديد درجة الذكاء لدى الاطفال ومقياس السلوك التكيفي لفينلاند لمعرفة مستوى السلوك التكيفي قبل وبعد التطبيق مستخدمين بذلك المنهج التجريبي لعينة واحدة ودرجتان من القياس وعين من الاطفال المعاقين عقليا متواجدين بالمراكز النفسية البيداغوجية بالجلفة والمقدر عددهم ب 10 اطفال ودرجة ذكائهم متوسطة ما بين 50 -65 درجة وخلصت الدراسة الى وجود فروق دالة لصالح القياس البعدي ان للبرنامج فعالية في تنمية مهارتي التواصل والحياة اليومية للأطفال المعاقين عقليا..,0,human,by_polishing,هدفت الدراسة الحالية الي التعرف علي فعالية برنامج تدريبي لتنمية بعض مهارات السلوك التكيفي لدي الاطفال المعاقين عقليا ، مستخدمين بطارية كلومبيا للنضج العقلي لتحديد درجة الذكاء لدي الاطفال ومقياس السلوك التكيفي لفينلاند لمعرفة مستوي السلوك التكيفي قبل وبعد التطبيق مستخدمين بذلك المنهج التجريبي لعينة واحدة ودرجتان من القياس وعين من الاطفال المعاقين عقليا متواجدين بالمراكز النفسية البيداغوجية بالجلفة والمقدر عددهم ب 10 اطفال ودرجة ذكايهم متوسطة ما بين 50 65 درجة وخلصت الدراسة الي وجود فروق دالة لصالح القياس البعدي ان للبرنامج فعالية في تنمية مهارتي التواصل والحياة اليومية للاطفال المعاقين عقليا,93,5.43010752688172
يُعد تبييض الأموال نموذجاً بارزاً للجريمة الاقتصادية، حيث اتخذت هذه الظاهرة شكلاً منظماً وعابراً للحدود الوطنية، مما يبرز خطورتها وتعقيداتها. في هذا السياق، يُظهر المشرع الجزائري استجابته للتطورات الدولية من خلال تعديل قانون العقوبات ليواكب الاتفاقيات الدولية، مثل اتفاقية فيينا لعام 2000 و اتفاقية الأمم المتحدة لمكافحة الجريمة المنظمة عبر الحدود لعام 2000. وقد translated إلى تجريم الأفعال المتعلقة بتبييض الأموال من خلال صدور قوانين وأوامر محددة، مثل قانون 05/01 المتعلق بالوقاية من تبييض الأموال وتمويل الإرهاب ومكافحتهما، وقانون 06/01 المتعلق بالوقاية من الفساد ومكافحته.,1,llama,by_polishing,يعد تبييض الاموال نموذجا بارزا للجريمة الاقتصادية، حيث اتخذت هذه الظاهرة شكلا منظما وعابرا للحدود الوطنية، مما يبرز خطورتها وتعقيداتها في هذا السياق، يظهر المشرع الجزايري استجابته للتطورات الدولية من خلال تعديل قانون العقوبات ليواكب الاتفاقيات الدولية، مثل اتفاقية فيينا لعام 2000 و اتفاقية الامم المتحدة لمكافحة الجريمة المنظمة عبر الحدود لعام 2000 وقد الي تجريم الافعال المتعلقة بتبييض الاموال من خلال صدور قوانين واوامر محددة، مثل قانون 05 01 المتعلق بالوقاية من تبييض الاموال وتمويل الارهاب ومكافحتهما، وقانون 06 01 المتعلق بالوقاية من الفساد ومكافحته,86,5.465116279069767
تهدف هذه الدراسة إلى استكشاف الدور الذي تلعبه حصة التربية البدنية والرياضية في تعزيز التعاون الاجتماعي لدى تلاميذ الطور المتوسط، من خلال استقصاء عينة مكونة من 105 تلميذ من بعض متوسطات عين الدفلى. اعتمدت الدراسة على المنهج الوصفي، وقسمت إلى جانبين: الجانب النظري والتطبيقي، الذي يشمل إجراءات البحث الميدانية وتحليل ومناقشة النتائج. استخدم الباحث استبياناً يضم ثلاثة محاور رئيسية متعلقة بالتعاون الاجتماعي، وهي: المشاركة، مساعدة الآخرين، واتباع التعليمات. توصلت الدراسة إلى أن حصة التربية البدنية والرياضية تلعب دورًا حاسمًا في تعزيز المشاركة الفعالة ومساعدة الزملاء واتباع التعليمات لدى التلاميذ. بناءً على هذه النتائج، يوصي الباحث بتشجيع الممارسة الرياضية داخل المؤسسات التعليمية، نظرًا لأهميتها في تعزيز التعاون الاجتماعي بين التلاميذ. الكلمات المفتاحية: حصة التربية البدنية والرياضية، التعاون الاجتماعي.,1,llama,by_polishing,تهدف هذه الدراسة الي استكشاف الدور الذي تلعبه حصة التربية البدنية والرياضية في تعزيز التعاون الاجتماعي لدي تلاميذ الطور المتوسط، من خلال استقصاء عينة مكونة من 105 تلميذ من بعض متوسطات عين الدفلي اعتمدت الدراسة علي المنهج الوصفي، وقسمت الي جانبين الجانب النظري والتطبيقي، الذي يشمل اجراءات البحث الميدانية وتحليل ومناقشة النتايج استخدم الباحث استبيانا يضم ثلاثة محاور رييسية متعلقة بالتعاون الاجتماعي، وهي المشاركة، مساعدة الاخرين، واتباع التعليمات توصلت الدراسة الي ان حصة التربية البدنية والرياضية تلعب دورا حاسما في تعزيز المشاركة الفعالة ومساعدة الزملاء واتباع التعليمات لدي التلاميذ بناء علي هذه النتايج، يوصي الباحث بتشجيع الممارسة الرياضية داخل الموسسات التعليمية، نظرا لاهميتها في تعزيز التعاون الاجتماعي بين التلاميذ الكلمات المفتاحية حصة التربية البدنية والرياضية، التعاون الاجتماعي,117,5.769230769230769
شهدت نهاية سنة 2019 وبداية سنة 2020 تحولات هائلة في الاقتصاد العالمي بسبب تفشي جائحة كوفيد19، وهو ما دفع بمعظم دول العالم المتقدمة والنامية على حد سواء باتخاذ مجموعة من التدابير الاستعجالية الوقائية لمواجهة هذه الجائحة، وجاءت هذه الدراسة لتسليط الضوء على أثر هذه الجائحة على مستويات معدلات البطالة في الجزائر.وخلصت هذه الدراسة إلى أن معدلات البطالة في الجزائر تأثرت بشكل سلبي ما جعلها تتجه نحو الارتفاع، الأمر الذي دفع بالحكومة الجزائرية إلى اتخاذ مجموعة من الآليات الكفيلة بالمحافظة ما أمكن على مناصب العمل، أملا في تقويض الانتشار المكثف لظاهرة البطالة بما يمكن أن ترتبه من آثار اجتماعية على درجة كبيرة من الخطورة.,0,human,by_polishing,شهدت نهاية سنة 2019 وبداية سنة 2020 تحولات هايلة في الاقتصاد العالمي بسبب تفشي جايحة كوفيد19، وهو ما دفع بمعظم دول العالم المتقدمة والنامية علي حد سواء باتخاذ مجموعة من التدابير الاستعجالية الوقايية لمواجهة هذه الجايحة، وجاءت هذه الدراسة لتسليط الضوء علي اثر هذه الجايحة علي مستويات معدلات البطالة في الجزاير وخلصت هذه الدراسة الي ان معدلات البطالة في الجزاير تاثرت بشكل سلبي ما جعلها تتجه نحو الارتفاع، الامر الذي دفع بالحكومة الجزايرية الي اتخاذ مجموعة من الاليات الكفيلة بالمحافظة ما امكن علي مناصب العمل، املا في تقويض الانتشار المكثف لظاهرة البطالة بما يمكن ان ترتبه من اثار اجتماعية علي درجة كبيرة من الخطورة,104,4.913461538461538
الورقة البحثية تهدف إلى استكشاف كيفية تلقي المنجز السيميائي السردي الجزائري في النقد العربي المعاصر من خلال تحليل نماذج مختارة. تبدأ الدراسة بعرض خلفية نظرية حول السيميائية السردية وتطورها في الجزائر، ثم تنتقل إلى استعراض كيفية تفاعل النقاد العرب مع الأعمال السردية الجزائرية. تعتمد المنهجية على تحليل نقدي ومقارن بين مجموعة من الدراسات النقدية والمحاور التي تناولتها، مع التركيز على الأساليب والرؤى المستخدمة في التعامل مع هذه الأعمال. تتوقع الدراسة الكشف عن تباين في مقاربة النقاد لهذه الأعمال، متأثراً بالتحولات الثقافية والسياسية والاجتماعية في المنطقة. كما تسعى إلى تحديد مدى تأثير المنجز الجزائري في إثراء النقد العربي وإضافة أبعاد جديدة له. النتائج المتوقعة تشير إلى تعزيز الفهم الثقافي المتبادل بين الجزائر والعالم العربي والإسهام في تطوير نظريات نقدية أكثر شمولية وتكاملاً.,1,openai,from_title,الورقة البحثية تهدف الي استكشاف كيفية تلقي المنجز السيميايي السردي الجزايري في النقد العربي المعاصر من خلال تحليل نماذج مختارة تبدا الدراسة بعرض خلفية نظرية حول السيميايية السردية وتطورها في الجزاير، ثم تنتقل الي استعراض كيفية تفاعل النقاد العرب مع الاعمال السردية الجزايرية تعتمد المنهجية علي تحليل نقدي ومقارن بين مجموعة من الدراسات النقدية والمحاور التي تناولتها، مع التركيز علي الاساليب والروي المستخدمة في التعامل مع هذه الاعمال تتوقع الدراسة الكشف عن تباين في مقاربة النقاد لهذه الاعمال، متاثرا بالتحولات الثقافية والسياسية والاجتماعية في المنطقة كما تسعي الي تحديد مدي تاثير المنجز الجزايري في اثراء النقد العربي واضافة ابعاد جديدة له النتايج المتوقعة تشير الي تعزيز الفهم الثقافي المتبادل بين الجزاير والعالم العربي والاسهام في تطوير نظريات نقدية اكثر شمولية وتكاملا,121,5.404958677685951
"تعد المتون النحوية عامة عاملاً من عوامل تيسير النحو للطلاب، إذ تساعدهم على حفظ القواعد النحوية و تذكرها، و نذكر من بين هاته المتون النحوية"" الآجرومية"" التي انتشرت انتشاراً واسعا بين طلاب هذا الفن و المهتمين به، فانكب عليها العلماء-في المغرب و المشرق- بالشرح تارةً،و بالنظم تارةً أخرى، أما الطلاب فسعوا إلى حفظها و فهمها ، و كأن حفظها على المبتدئ أضحى واجباً، فارتأينا من خلال هذه الورقة البحثية أن نسلط عليها الضوء، و نبحث عن كنه هذا القبول لها، وما أسهمت به في مجال التيسير.",0,human,by_polishing,تعد المتون النحوية عامة عاملا من عوامل تيسير النحو للطلاب، اذ تساعدهم علي حفظ القواعد النحوية و تذكرها، و نذكر من بين هاته المتون النحوية الاجرومية التي انتشرت انتشارا واسعا بين طلاب هذا الفن و المهتمين به، فانكب عليها العلماء في المغرب و المشرق بالشرح تارة،و بالنظم تارة اخري، اما الطلاب فسعوا الي حفظها و فهمها ، و كان حفظها علي المبتدي اضحي واجبا، فارتاينا من خلال هذه الورقة البحثية ان نسلط عليها الضوء، و نبحث عن كنه هذا القبول لها، وما اسهمت به في مجال التيسير,87,4.367816091954023
"هدفت الدراسة الحالية إلى الكشف عن القيم التربوية والأخلاقية بالذات التي تحتويها كتاب التربية الإسلامية للسنة الأولى من التعليم المتوسط, وقد تم الاعتماد في الدراسة على منهج تحليل المحتوى وتمثلت عينة البحث في كتاب التربية الإسلامية للسنة الأول من التعليم المتوسط. توصلت الدراسة إلى: وجود فروق ذات دلالة إحصائية بين القيم الأخلاقية المتضمنة في كتاب التربية الإسلامية للسنة الأولى من التعليم المتوسط، وأن القيم الفردية أكثر تكراراً من القيم الجماعية، وأن القيم التربوية الأخلاقية تتمتع بوزن نسبي معتبر يخدم أفكاراً تربوية وأخلاقية معينة تستهدف فئة التلاميذ قصد غرسها فيه.",0,human,by_polishing,هدفت الدراسة الحالية الي الكشف عن القيم التربوية والاخلاقية بالذات التي تحتويها كتاب التربية الاسلامية للسنة الاولي من التعليم المتوسط وقد تم الاعتماد في الدراسة علي منهج تحليل المحتوي وتمثلت عينة البحث في كتاب التربية الاسلامية للسنة الاول من التعليم المتوسط توصلت الدراسة الي وجود فروق ذات دلالة احصايية بين القيم الاخلاقية المتضمنة في كتاب التربية الاسلامية للسنة الاولي من التعليم المتوسط، وان القيم الفردية اكثر تكرارا من القيم الجماعية، وان القيم التربوية الاخلاقية تتمتع بوزن نسبي معتبر يخدم افكارا تربوية واخلاقية معينة تستهدف فية التلاميذ قصد غرسها فيه,89,5.314606741573034
يُشكل الحنين إلى الأماكن المقدسة في الشعر الأندلسي موضوعًا أساسيًا لفهم العلاقات الثقافية والتاريخية بين الأندلس والشام. يهدف البحث إلى استكشاف هذه الظاهرة من خلال تحليل شعراء أندلسيين بارزين، مثل ابن زيدون وابن خفاجة. يعتمد البحث على منهجية نقدية vănية، حيث يتم فحص النصوص الشعرية لاستخلاص المفاهيم والمشاعر المرتبطة بالحنين إلى الأماكن المقدسة. من خلال هذه الدراسة، يتوقع البحث أن يسلط الضوء على دور الحنين في تشكيل الهوية الثقافية للأندلسيين، وكيفية تعبيرهم عن مشاعر الحنين في شعرهم. كما يهدف البحث إلى إبراز التأثير الثقافي والديني للشام على الأدب الأندلسي، مما يوفر رؤية أعمق حول العلاقات الثقافية بين الأندلس والشام في العصور الوسطى.,1,llama,from_title,يشكل الحنين الي الاماكن المقدسة في الشعر الاندلسي موضوعا اساسيا لفهم العلاقات الثقافية والتاريخية بين الاندلس والشام يهدف البحث الي استكشاف هذه الظاهرة من خلال تحليل شعراء اندلسيين بارزين، مثل ابن زيدون وابن خفاجة يعتمد البحث علي منهجية نقدية ية، حيث يتم فحص النصوص الشعرية لاستخلاص المفاهيم والمشاعر المرتبطة بالحنين الي الاماكن المقدسة من خلال هذه الدراسة، يتوقع البحث ان يسلط الضوء علي دور الحنين في تشكيل الهوية الثقافية للاندلسيين، وكيفية تعبيرهم عن مشاعر الحنين في شعرهم كما يهدف البحث الي ابراز التاثير الثقافي والديني للشام علي الادب الاندلسي، مما يوفر روية اعمق حول العلاقات الثقافية بين الاندلس والشام في العصور الوسطي,102,5.166666666666667
تناولت الدراسة سياسة فرنسا الاستعمارية في إفريقيا خلال الفترة 1954-1960م وتأثير الجزائر في تقويض هذه السياسة. حينما تبنت فرنسا أساليب استعمارية قاسية أثارت حركات التحرر الوطني في مستعمراتها الإفريقية، سعياً لمواجهة السياسات الفرنسية وتعزيز التنسيق والوحدة بين هذه الحركات. تُعتبر ثورة الجزائر عام 1954 مثالاً بارزاً على المقاومة الفعالة، فقد شكلت ضغطًا كبيرًا على السياسات الفرنسية بفضل قوتها وتأثيرها الدولي المتزايد. يهدف البحث إلى توضيح كيف ساعدت الثورة الجزائرية في تقويض أسس السياسة الفرنسية في مستعمراتها الإفريقية، مشيرة إلى الجهد الجزائري في الدعوة للوحدة الأفريقية لمواجهة الاحتلال. تمثل هذه الورقة إسهامًا في فهم دور الجزائر المحوري في تعزيز حركات التحرر الإفريقية وإضعاف الهيمنة الفرنسية.,1,openai,from_title_and_content,تناولت الدراسة سياسة فرنسا الاستعمارية في افريقيا خلال الفترة 1954 1960م وتاثير الجزاير في تقويض هذه السياسة حينما تبنت فرنسا اساليب استعمارية قاسية اثارت حركات التحرر الوطني في مستعمراتها الافريقية، سعيا لمواجهة السياسات الفرنسية وتعزيز التنسيق والوحدة بين هذه الحركات تعتبر ثورة الجزاير عام 1954 مثالا بارزا علي المقاومة الفعالة، فقد شكلت ضغطا كبيرا علي السياسات الفرنسية بفضل قوتها وتاثيرها الدولي المتزايد يهدف البحث الي توضيح كيف ساعدت الثورة الجزايرية في تقويض اسس السياسة الفرنسية في مستعمراتها الافريقية، مشيرة الي الجهد الجزايري في الدعوة للوحدة الافريقية لمواجهة الاحتلال تمثل هذه الورقة اسهاما في فهم دور الجزاير المحوري في تعزيز حركات التحرر الافريقية واضعاف الهيمنة الفرنسية,105,5.552380952380952
تُدرس هذه الورقة البحثية تأثير المستوى التركيبي على الدلالة في اللغة العربية، مع التركيز على استخدام التقديم والتأخير. باستخدام منهج تحليلي، تستكشف الورقة كيف يمكن أن يغير ترتيب الكلمات في الجملة المعنى المقصود، وتقدم أمثلة لتوضيح هذه الظاهرة. تشير النتائج إلى أن المستوى التركيبي يلعب دوراً حاسماً في تشكيل الدلالة في اللغة العربية، مما يبرز أهمية فهم هذا الجانب من بنية اللغة.,1,jais,from_title,تدرس هذه الورقة البحثية تاثير المستوي التركيبي علي الدلالة في اللغة العربية، مع التركيز علي استخدام التقديم والتاخير باستخدام منهج تحليلي، تستكشف الورقة كيف يمكن ان يغير ترتيب الكلمات في الجملة المعني المقصود، وتقدم امثلة لتوضيح هذه الظاهرة تشير النتايج الي ان المستوي التركيبي يلعب دورا حاسما في تشكيل الدلالة في اللغة العربية، مما يبرز اهمية فهم هذا الجانب من بنية اللغة,62,5.016129032258065
